Altium Designer Pick and Place Locations
C:\Users\fedepaj\Documents\GitHub\KNOOBS\Project Outputs for MANOPOLATORE\FAB\Pick Place\Pick Place for MANOPOLATORE_2040_ZERO(PROD).csv

========================================================================================================================
File Design Information:

Date:       11/03/26
Time:       18:34
Revision:   Not in VersionControl
Variant:    PROD
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW6","B3F-3122","BottomLayer","FP-B3F-3122-MFG","3.6750","47.5000","90","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW5","B3F-3122","BottomLayer","FP-B3F-3122-MFG","141.3250","97.5000","270","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW4","B3F-3122","BottomLayer","FP-B3F-3122-MFG","141.3250","72.5000","270","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW3","B3F-3122","BottomLayer","FP-B3F-3122-MFG","3.6750","72.5000","90","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW2","B3F-3122","BottomLayer","FP-B3F-3122-MFG","141.3250","47.5000","270","SWITCH TACTILE SPST-NO 0.05A 24V"
"SW1","B3F-3122","BottomLayer","FP-B3F-3122-MFG","3.6750","97.5000","90","SWITCH TACTILE SPST-NO 0.05A 24V"
"SR_SX_BOT","74HC165D,653","TopLayer","FP-SOT109-1-MFG","36.1230","36.5040","90","IC SHIFT REGST 8BIT PI-SO 16SOIC"
"SR_DX_BOT","74HC165D,653","TopLayer","FP-SOT109-1-MFG","108.6230","36.5040","90","IC SHIFT REGST 8BIT PI-SO 16SOIC"
"SR_BTN_BOT","74HC165D,653","TopLayer","FP-SOT109-1-MFG","72.3730","36.5040","90","IC SHIFT REGST 8BIT PI-SO 16SOIC"
"R8_SX_BOT","YC164-JR-0710KL","TopLayer","RESNET_1206-8_CONVEX","36.1230","42.7540","90","RES ARRAY 4 RES 10K OHM 1206"
"R8_DX_BOT","YC164-JR-0710KL","TopLayer","RESNET_1206-8_CONVEX","108.6230","42.7540","90","RES ARRAY 4 RES 10K OHM 1206"
"R8_BTN_BOT","YC164-JR-0710KL","TopLayer","RESNET_1206-8_CONVEX","72.3730","42.7540","90","RES ARRAY 4 RES 10K OHM 1206"
"R7_SX_BOT","YC164-JR-0710KL","TopLayer","RESNET_1206-8_CONVEX","36.1230","30.2540","270","RES ARRAY 4 RES 10K OHM 1206"
